Copies	Nickname	card_background	cardname	cardtypeimage	cardimage	cardimage style	cardtype	cardtext	card number	set name	rarity
1			Minion, Second in Command	VAction.png	Minion.png		Unique Character - Potato Villain Scientist	Actions: {icons/WildAction.png} {icons/WildAction.png} / *{icons/WildAction.png}: Research* - You may use this ability a maximum of 2 times per turn. Draw 1 card. / 0/2	11	BS26	Uncommon
1			The Bananabot	artifactLogo.png	The Bananabot.png		Unique Artifact Vehicle - Robot	Pilot 1 / When piloted, this Vehicle becomes a 6/6 Artifact Character until the start of your next turn.	12	BS26	Uncommon
3			Targeted Nuke	actionLogo.png	Targeted Nuke.png		Action - Fast	{icons/WildAction.png} {icons/WildAction.png} {icons/WildAction.png}: Deal 5 damage to target character.	13	BS26	
3			Assistance	actionLogo.png	Assistance.png		Action - Slow	Actions: {icons/HAction.png} {icons/WildAction.png} / All characters you control gain Reach and Speed until end of turn. / 	14	BS26	
3			Robbery	actionLogo.png	Robbery.png		Action - Slow	Pick either:<ul><li>Draw 2 cards</li><li>Add {icons/VAction.png}{icons/VAction.png}{icons/VAction.png} to your action pool</li></ul>	15	BS26	
1			Scarlette, Tiny Prizefighter	QuestionAction.png	Scarlette.png		Unique Character - Human Child Hero	Actions: {icons/QuestionAction.png} {icons/WildAction.png} {icons/WildAction.png} / *Fighting With Style* - Whenever Scarlette attacks, add a +1/+1 counter to this character. / 4/2	16	BS26	
1			Scarlette's Stand-up Comedy	actionLogo.png	Scarlette Stand Up Comedy.png		Action - Slow	Add {icons/WildAction.png} {icons/WildAction.png} {icons/WildAction.png} to your action pool. At the end of your turn, deal 1 damage to target player or character for each action left in your action pool generated from this card.	17	BS26	Uncommon
1			Hallie, Eater of Food	QuestionAction.png	Hallie.png		Unique Character - Hallie Hero	Actions: {icons/QuestionAction.png} / Vigilance, speed / *Consume* - Destroy a Food token you control. Then, add a +1/+1 counter to this character. / 3/4	18	BS26	Uncommon
3			Cook	actionLogo.png	Cook.png		Action - Slow	Create a Food token. *(It's a Token with this card text: "Destroy this card: Gain 2 life".)*	19	BS26	
3			Portable Wingsuit	artifactLogo.png	Wingsuit.png		Artifact Item - Wearable	Select a character you control. That character gains Flying while this card remains in play.	20	BS26	
2			Banana Gem	artifactLogo.png	Banana Gem.png		Unique Artifact - Gem	Actions: {icons/WildAction.png}	21	BS26	Rare
3			Benji Alert	actionLogo.png	Benji Alert.png		Action - Slow	Search your deck for a character with the Hero keyword and put it into your hand. Then, shuffle your deck.	22	BS26	
1			Benji HQ	locationLogo.png	Benji HQ.png		Location - Building	All characters with the Hero keyword gain +1/+1 while this Location is in play.	23	BS26	
1			Banana City	locationLogo.png	Banana City.png		Location - City	All characters with the Villain keyword gain +1/+1 while this Location is in play.	24	BS26	
1			Benji City	locationLogo.png	Benji City.png		Location - City	At the start of your turn, add {icons/QuestionAction.png} to your action pool for every non-Token character in play you control that isn't a Villain.	25	BS26	
1			Militia	actionLogo.png	Militia.png		Action - Slow	Create 2 1/1 Token Character - Humans with Speed.	26	BS26	
3			Banana Soldier	VAction.png	Banana Soldier.png		Character - Military Banana	Actions: {icons/WildAction.png} / When a card with the Banana keyword is played, put a +1/+1 counter on this character. / 2/1	27	BS26	
3			Benji City Citizen	WildAction.png	Benji City Citizen.png		Character - Human	Actions: {icons/QuestionAction.png} / 1/1	28	BS26	
1			Emmy, Crystalline Summoner	PlusAction.png	Emmy.png		Unique Character - Human Hero	Actions: {icons/PlusAction.png} {icons/PlusAction.png} / {icons/PlusAction.png} {icons/MinusAction.png}: *Summon Crystal *- Create a 1/1 Token Character - Crystal. / 2/3	29	BS26	Uncommon
1			Addie, Force of Nature	MinusAction.png	Addie.png		Unique Character - Human Hero	Actions: {icons/MinusAction.png} {icons/MinusAction.png} / {icons/PlusAction.png} {icons/MinusAction.png}: *Natural Healing* - Target player gains 1 health. / 3/2	30	BS26	Uncommon
1			Jean, Original Hero	PlusAction.png	Jean.png		Unique Character - Human Hero	Actions: {icons/PlusAction.png} {icons/HAction.png} / If Dave, Original Hero is in play and under your control, this character gains +2/+2. / 2/3	31	BS26	Uncommon
1			Dave, Original Hero	MinusAction.png	Dave.png		Unique Character - Human Hero	Actions: {icons/MinusAction.png} {icons/HAction.png} / If Jean, Original Hero is in play and under your control, this character gains +2/+2. / 3/2	32	BS26	Uncommon
3			9:01 News	actionLogo.png	901 News.png		Action - Slow	Choose one:<ul><li>Deal 2 damage to any character</li><li>Draw 2 cards.</li><li>Look at the top 5 cards of your deck, choose one to put into your hand, and shuffle your deck</li></ul>	33	BS26	Rare
1		Benji Alt Art.png	Benji, Political Leader	HAction.png	-	{outlineStyle:none} {boxShadow:none}	Unique Character - Human Hero	Actions: {icons/HAction.png} {icons/HAction.png} / Flying, speed / {icons/HAction.png} {icons/HAction.png}: *Rally* - Search your deck for any card, and put it in your hand. Exhaust this character. / 4/3	34	BS26	Special Illustration
1		Banana Alt Art.png	Dr. Banana, Conquerer	VAction.png	-	{outlineStyle:none} {boxShadow:none}	Unique Character - Banana Villain	Actions: {icons/VAction.png} {icons/VAction.png} / Lethal / *{icons/VAction.png} {icons/VAction.png} {icons/VAction.png}: Conquerer* - Search your deck for a Location and put it into play immediately. / 5/3	35	BS26	Special Illustration
1		Chloe.png	Chloe, Cheese Consumer	QuestionAction.png	-	{outlineStyle:none} {boxShadow:none}	Unique Character - Dog Hero	Actions: {icons/QuestionAction.png} / *Consume* - Destroy a Cheese token you control to add a +1/+1 counter to this character. / *Hunt* - Once per turn, you may create a Food - Cheese token with this text: "Destroy this card: Gain 2 life.". / 2/2	36	BS26	Amazing Rare
1		Dr Zach and Jack. Zach and Jack	Dr. Zach and Jack, MD	QuestionAction.png	-	{outlineStyle:none} {boxShadow:none}	Unique Character Duo - Human Doctor	Actions: {icons/HAction.png} {icons/HAction.png} / *{icons/WildAction.png} {icons/WildAction.png}: Prescribe Medication* - Create a Food - Medication token with this text: " / Destroy this card: Target character gains +0/+4 until end of turn." / 4/4	37	BS26	Special Illustration
3			Arrest	actionLogo.png	Arrest.png		Action - Slow	Target character's card text other than their actions and power/health is removed until the start of your next turn.	38	BS26	
2			Takedown	actionLogo.png	Shoot to Kill.png		Unique Action - Slow	Target player takes 1 damage for every character they control that is destroyed until end of turn.	39	BS26	
3			Backup Plan	actionLogo.png	Backup Plan.png		Action - Fast	Create a 1/1 Character - Human token with Speed.	40	BS26	
3			Risk Taking	actionLogo.png	Risk Taking.png		Action - Slow	Take 2 damage. Gain {icons/WildAction.png} {icons/WildAction.png} {icons/WildAction.png}.	41	BS26	
3			Scout	actionLogo.png	Scout.png		Action - Slow	Take the top 3 cards of your deck. Put one into your hand, put one on the bottom of your deck, and put one on the top of your deck.	42	BS26	
2			Delay	actionLogo.png	Delay.png		Action - Fast	When an opponent plays a card from their hand, you may play this card. That card is returned to the top of its owner’s deck instead of resolving.	43	BS26	
2			Food	WildAction.png	Cook.png		Token - Food	Destroy this card: Gain 2 life.	TOKEN	BS26	TOKEN
2			Human	WildAction.png	Militia.png		Token Character - Human	Speed / 1/1	TOKEN	BS26	TOKEN
2			Crystal	WildAction.png	Emmy.png		Token Character - Crystal	1/1	TOKEN	BS26	TOKEN
1		Chloe.png	Cheese	WildAction.png	-	{outlineStyle:none} {boxShadow:none}	Token Food - Cheese	Destroy this card: Gain 2 life.	TOKEN	BS26	TOKEN
2		Dr Zach and Jack. Zach and Jack	Medication	WildAction.png	-	{outlineStyle:none} {boxShadow:none}	Token Food - Medication	Destroy this card: Target character gains +0/+4 until end of turn.	TOKEN	BS26	TOKEN
1		Noah Promo.png	Noah, Professor of Nuclear Sciences	QuestionAction.png	-	{outlineStyle:none} {boxShadow:none}	Unique Character - Human Hero Scientist	Actions: {icons/QuestionAction.png} / *Quantum Research* - Once per turn, you may draw 1 card. / *{icons/QuestionAction.png}: Teach* - Target character gains -1/+1 until end of turn. / 3/3	PROMO	BS26	Special
1		Banana Gem Alt Art.png	Banana Gem	artifactLogo.png	-	{outlineStyle:none} {boxShadow:none}	Unique Artifact - Gem	Actions: {icons/WildAction.png}---*"This crystal has been in our family for years and years to come."*	PROMO	BS26	Special
1		901 News.png	Steve Stafford	QuestionAction.png	-	{outlineStyle:none} {boxShadow:none}	Unique Character - Human Journalist	This character cannot attack nor defend. / When this character enters play, choose one:<ul><li>Deal 2 damage to any character</li><li>Draw 2 cards.</li><li>Look at the top 5 cards of your deck, choose one to put into your hand, and shuffle your deck</li></ul>1/1	PROMO	BS26	Special
1		Jacob Full Art.png	Jacob, Hired Assassin	QuestionAction.png	-	{outlineStyle:none} {boxShadow:none}	Unique Character - Human Assassin	Lethal / 3/3 / 	PROMO	BS26	Special
1		Scarlette In Space.png	Scarlette, IN SPACE!	QuestionAction.png	-	{outlineStyle:none} {boxShadow:none}	Unique Character - Human Child Hero	Actions: {icons/QuestionAction.png} {icons/WildAction.png} {icons/WildAction.png} / *Fighting With Style* - Whenever Scarlette attacks, add a +1/+1 counter to this character. / 4/2---*"I'm in space! This is so cool!" *- Not Scarlette	PROMO	BS26	Special
1		Chloe in Space.png	Chloe, ALSO IN SPACE!	QuestionAction.png	-	{outlineStyle:none} {boxShadow:none}	Unique Character - Dog Hero	Actions: {icons/QuestionAction.png} / *Hunt* - Once per turn, you may create a Food - Cheese token with this text: "Destroy this card: Gain 2 life.". / 2/2---*"Woof woof"* - Chloe	PROMO	BS26	Special
1		Bananabot Full Art.png	The Bananabot	artifactLogo.png	-	{outlineStyle:none} {boxShadow:none}	Unique Artifact Vehicle - Robot	Pilot 1 / When piloted, this Vehicle becomes a 6/6 Artifact Character until the start of your next turn.	PROMO	BS26	Special
1		Jordan Full Art.png	Jordan, Fire Master	MinusAction.png	-	{outlineStyle:none} {boxShadow:none}	Unique Character - Human Hero	Actions: {icons/MinusAction.png} / Vigilance, reach / {icons/PlusAction.png} {icons/MinusAction.png}: *Fireball* - Deal 1 damage to up to 3 characters. Exhaust this character. / 3/4	PROMO	BS26	Special
1		Pet Rock.png	Pet Rock	WildAction.png	-	{outlineStyle:none} {boxShadow:none}	Unique Character - Rock	*My True Power* - At the start of your turn, add a +1/+1 counter to this character / This character can only attack or block if its Attack is greater than 99. / 0/0	PROMO	BS26	Very Cool
